WEAPON_ID,WEAPONTYPE,WEAPONTYPE_COMMON_NAME,WEAPON_CLASS,WEAPONTYPE_DESC,WEAPON_COUNT
82,BLU-43,BLU-43/B,BOMB,"""aerially dispensed, contact-pressure-fired anti-personnel blast minelets, nicknamed """"Short Dragontooth""""""",1
83,BLU-52,BLU-52/B,BOMB,"""700 lb class chemical warfare bomb, which contained 615 lb of CS agent (tear gas)""",347
84,BLU52_BLU62 TG/F BOMB,,BOMB,,99
85,BLU73B ANTIPERS-PROPN,BLU-73/B,BOMB,FAE (Fuel/Air Explosive) bomb containing 72 lb of ethylene oxide,1
86,BLU82B LZ CLR DEVICE,BLU-82/B,BOMB,"""15000 lb) general-purpose blast bomb (nicknamed """"Big Blue 82"""") is one of the largest non-nuclear bombs ever developed""",1
87,BULLPUP A/B,AGM-12 Bullpup,MISSILE,Air-to-ground command guided missile,1626
88,BULLPUP B,AGM-12 Bullpup,MISSILE,Air-to-ground command guided missile,2727
89,CARGO (TONS),,SUPPORT,,42787
90,CBU 30,CBU-30/A,BOMB,750 lb class non-lethal chemical warfare cluster bomb consisted of 1280 BLU-39/B CS bomblets,2101
91,CBU 42/BLU54B,CBU-42/A,BOMB,anti-personnel mine cluster bomb consisted of 540 BLU-54/B WAAPM (Wide-Area Anti-Personnel Mine) fragmentation minelets,734
92,CBU 46,CBU-46/A,BOMB,880 lb anti-personnel cluster bomb consisted of 640 BLU-66/B or BLU-24/B fragmentation bomblets,378
93,CBU-1,CBU-1/A,BOMB,anti-personnel cluster bomb consisted of BLU-4( )/B fragmentation bomblets,4570
94,CBU-10,CBU-10/B,BOMB,"""dummy cluster bomb consisted of a U.S. Navy MK 5 MOD 0 """"Sadeye"""" dispenser (typically used with small anti-personnel fragmentation bomblets) filled with BDU-30/B practice bomblets""",5
95,CBU-11,CBU-11/A,BOMB,smoke cluster bombs all consisted of 261 BLU-16/B and/or BLU-17/B smoke bomblets,3
96,CBU-12,CBU-12/A,BOMB,smoke cluster bombs all consisted of 261 BLU-16/B and/or BLU-17/B smoke bomblets,3860
97,CBU12 INCEN SMOKE,CBU-12/A,BOMB,smoke cluster bombs all consisted of 261 BLU-16/B and/or BLU-17/B smoke bomblets,66
98,CBU-14/25,CBU-14/A,BOMB,anti-personnel/anti-material cluster bomb consisted of an unknown number of BLU-3/B fragmentation bomblets,26582
99,CBU15 ANTI-MATERIAL,CBU-15/A,BOMB,"""750 lb class chemical warfare cluster bomb, which consisted of an unknown number of BLU-19/B23 GB bomblets""",872
100,CBU-18,CBU-18/A,BOMB,anti-personnel cluster bomb consisted of an unknown number of BLU-25/B bomblets,2
101,CBU-19,CBU-19/A,BOMB,"""130 lb non-lethal chemical warfare cluster bomb, 16 dispenser modules which contained 33 BLU-39/B23 CS bomblets (for a total of 528 bomblets).""",417
102,CBU19 RIOT CONTROL,CBU-19/A,BOMB,"""130 lb non-lethal chemical warfare cluster bomb, 16 dispenser modules which contained 33 BLU-39/B23 CS bomblets (for a total of 528 bomblets).""",19
103,CBU-2,CBU-2/A,BOMB,anti-personnel/anti-material cluster bomb consisted of BLU-3/B fragmentation bomblets,15458
104,CBU2 ANTI-MTL MUNIT,CBU-2/A,BOMB,anti-personnel/anti-material cluster bomb consisted of BLU-3/B fragmentation bomblets,30
105,CBU-22,CBU-22/A,BOMB,250 lb class smoke cluster bomb consisted of 72 BLU-17/B smoke bomblets,824
106,CBU22 INCEN SMOKE,CBU-22/A,BOMB,250 lb class smoke cluster bomb consisted of 72 BLU-17/B smoke bomblets,421
107,CBU-23,CBU-23/B,BOMB,anti-personnel/anti-material cluster bomb consisted of an unknown number of BLU-26/B fragmentation bomblets,1
108,CBU24,CBU-24/B,BOMB,anti-personnel/anti-material cluster bomb consisted of 665 BLU-26/B or BLU-36/B fragmentation bomblets,2
109,CBU-24,CBU-24/B,BOMB,anti-personnel/anti-material cluster bomb consisted of 665 BLU-26/B or BLU-36/B fragmentation bomblets,57
110,CBU24 AN PR/MT (BLU26),CBU-24/B,BOMB,anti-personnel/anti-material cluster bomb consisted of 665 BLU-26/B or BLU-36/B fragmentation bomblets,14135
111,CBU-24/29,CBU-24/B,BOMB,anti-personnel/anti-material cluster bomb consisted of 665 BLU-26/B or BLU-36/B fragmentation bomblets,55618
112,CBU25 AN PR/MT (BLU24),CBU-25/A,BOMB,anti-personnel cluster bomb consisted of 132 BLU-24/B fragmentation bomblets,3418
113,CBU-28,CBU-28/A,BOMB,"""anti-personnel mine cluster bomb consisted of 4800 BLU-43/B """"Short Dragontooth"""" minelets""",280
114,CBU28 AN PR MINE,CBU-28/A,BOMB,"""anti-personnel mine cluster bomb consisted of 4800 BLU-43/B """"Short Dragontooth"""" minelets""",46
115,CBU28/BLU43B,CBU-28/A,BOMB,"""anti-personnel mine cluster bomb consisted of 4800 BLU-43/B """"Short Dragontooth"""" minelets""",16
116,CBU29 AN PR/MT (BLU36),CBU-29/B,BOMB,840 lb anti-personnel/anti-material cluster bomb consisted of 670 BLU-36/B fragmentation bomblets,49
117,CBU-3,CBU-3/A,BOMB,660 lb anti-tank cluster bomb consisted of BLU-7( )/B bomblets,7
118,CBU3 AN TANK (BLU7),CBU-3/A,BOMB,660 lb anti-tank cluster bomb consisted of BLU-7( )/B bomblets,4
119,CBU30 RIOT CTL (BLU39),CBU-30/A,BOMB,750 lb class non-lethal chemical warfare cluster bomb consisted of 1280 BLU-39/B CS bomblets,22
120,CBU-33,CBU-33/A,BOMB,770 lb anti-tank mine cluster bomb consisted of 30 BLU-45/B shaped-charge minelets,111
121,CBU33 AVLM (BLU45),CBU-33/A,BOMB,770 lb anti-tank mine cluster bomb consisted of 30 BLU-45/B shaped-charge minelets,41
122,CBU-34,CBU-34/A,BOMB,anti-personnel mine cluster bomb consisted of 540 BLU-42/B WAAPM (Wide-Area Anti-Personnel Mine) fragmentation minelets,350
123,CBU34 AN PR/MT (BLU42),CBU-34/A,BOMB,anti-personnel mine cluster bomb consisted of 540 BLU-42/B WAAPM (Wide-Area Anti-Personnel Mine) fragmentation minelets,9
124,CBU38 AN MTL (BLU49),CBU-38/A,BOMB,anti-personnel cluster bomb consisted of 40 BLU-49( )/B fragmentation bomblets,693
125,CBU-39,CBU-39/A,BOMB,"""cluster bombs consisting of an SUU-41( )/A dispenser filled with """"Gravel"""" anti-personnel mines""",1
126,CBU39 GRAVEL BOMB,CBU-39/A,BOMB,"""cluster bombs consisting of an SUU-41( )/A dispenser filled with """"Gravel"""" anti-personnel mines""",23
127,CBU40 (10 CDU5),CBU-40/A,BOMB,"""cluster bombs consisting of an SUU-41( )/A dispenser filled with """"Gravel"""" anti-personnel mines. An SUU-41( )/B dispenser contained 10 cluster adapters""",2
128,CBU42 WAAPM (BLU54),CBU-42/A,BOMB,anti-personnel mine cluster bomb consisted of 540 BLU-54/B WAAPM (Wide-Area Anti-Personnel Mine) fragmentation minelets,336
129,CBU46 AN PR/MT (BLU66),CBU-46/A,BOMB,880 lb anti-personnel cluster bomb consisted of 640 BLU-66/B fragmentation bomblets in an SUU-7C/A dispenser,275
130,CBU46 ANTI-PER,CBU-46/A,BOMB,880 lb anti-personnel cluster bomb consisted of 640 BLU-24/B fragmentation bomblets,330
131,CBU-49,CBU-49/B,BOMB,840 lb anti-personnel/anti-material cluster bomb consisted of 670 BLU-59/B fragmentation bomblets,66
132,CBU49 AN PR MINE,CBU-49/B,BOMB,840 lb anti-personnel/anti-material cluster bomb consisted of 670 BLU-59/B fragmentation bomblets,4158
133,CBU52 AN MTL (BLU61),CBU-52/B,BOMB,770 lb anti-material cluster bomb consisted of 217 BLU-61A/B fragmentation/incendiary bomblets,1678
134,CBU55 AN PR BOMB (FAE),CBU-55/B,BOMB,460 lb cluster bomb consisted of three BLU-73A/B FAE (Fuel/Air Explosive) bombs,357
135,CBU58 AN PR BOMB,CBU-58/B,BOMB,815 lb anti-personnel/anti-material cluster bomb consisted of 650 BLU-63( )/B fragmentation bomblets,1114
136,CBU-7,CBU-7/A,BOMB,anti-personnel cluster bomb consisted of 1200 BLU-18/B fragmentation bomblets,5448
137,CDU10 MICRO GRAVEL,CBU-10/B,BOMB,dummy cluster bomb consisted filled with BDU-30/B practice bomblets,2
138,CDU14 GRAVEL,CBU-14/A,BOMB,anti-personnel/anti-material cluster bomb consisted of an unknown number of BLU-3/B fragmentation bomblets,113
139,COMMIKE III SENSOR,,SUPPORT,,59
140,DRONE AGM-37A,,MISSILE,,40
141,FALCON,AIM-26 Falcon,MISSILE,air-to-air weapon with a nuclear warhead,2955
142,FALCON AIM-26,AIM-26 Falcon,MISSILE,air-to-air weapon with a nuclear warhead,531
143,FLARES-MK24_MK6_LUUI8,,SUPPORT,,23277
144,FLARES--MLU-32/899,,SUPPORT,,13
145,HERBICIDE,,SUPPORT,,182
146,HERBICIDE (GALLONS),,SUPPORT,,185
147,HILL GENIE,,SUPPORT,,12
148,HVAC 5 IN ROCKET,,ROCKET,,635
149,KMU342B (M117 LGB-750),BOLT-117,SUPPORT,Consisted of a standard M117 750-pound bomb case with a KMU-342 laser guidance and control kit,5
150,LAU 10A (ZUNI LCHR),LAU-10/A,ROCKET,4 Round 127mm (5 in.) Rocket Launcher,1265
151,LAU-10A,LAU-10/A,ROCKET,4 Round 127mm (5 in.) Rocket Launcher,8828
152,LAU3/MA RKT LCHR (19),LAU-3/A,ROCKET,19 Round 70mm (2.75 in.) Rocket Launcher,16526
153,LAU32 RKT LCHR (7),LAU-32/A,ROCKET,7 Round 70mm (2.75 in.) Rocket Launcher,86
154,LAU-32/AERO 6A,LAU-32/A,ROCKET,7 Round 70mm (2.75 in.) Rocket Launcher,1633
155,LAU-33,LAU-33/A,ROCKET,"""2 Round """"Zuni"""" (5 in.) Rocket Launcher""",2526
156,LAU-3A/AERO7,LAU-3/A,ROCKET,19 Round 70mm (2.75 in.) Rocket Launcher,24855
157,LAU-54,,ROCKET,,1
158,LAU54 ROCKET POD,,ROCKET,,9
159,LAU-56,LAU-56/A,ROCKET,Rocket Launcher,153
160,LAU-59,LAU-59/A,ROCKET,7 Round 70mm (2.75 in.) Rocket Launcher,5963
161,LAU59 RKT LCHR (7),LAU-59/A,ROCKET,7 Round 70mm (2.75 in.) Rocket Launcher,2943
162,LAU68 RKT LCHR (7),LAU-68/A,ROCKET,7 Round 70mm (2.75 in.) Rocket Launcher,2086
163,LEAFLET BOMB,M104 Bomb,SUPPORT,Bomb for leaflets dispensing,588
164,LEAFLET MANUAL,,SUPPORT,,1499
165,LUU2 FLARE,LUU-2 Flare,SUPPORT,high-intensity illumination flare are used to illuminate targets,1590
166,M1 GP BOMB (1000),,BOMB,,4
167,M117 DESTRUCTOR,M117D bomb,BOMB,"""free-fall general-purpose bomb but, uses a magnetic influence fuze which enables the bomb to function as a mine""",12
168,M117 GP BOMB (750) HD,M117 bomb,BOMB,free-fall general-purpose bomb,228
169,M117 GP BOMB (750) LD,M117 bomb,BOMB,free-fall general-purpose bomb,14611
170,M117 GP BOMB HD-FMU30,M117 bomb,BOMB,free-fall general-purpose bomb,1
171,M118,M118,BOMB,air-dropped general-purpose or demolition bomb,12
172,M118 DEMOL BOMB (3000),M118,BOMB,air-dropped general-purpose or demolition bomb,104
173,M118 DEMOL BOMB FUSE,M118,BOMB,air-dropped general-purpose or demolition bomb,118
174,M118 LASER GUIDED BMB,M118,BOMB,air-dropped general-purpose or demolition bomb,32
175,M120 P,,BOMB,,1
176,M129 L,M129,BOMB,Leaflet Bomb is a device used for dropping large quantities of flyers,1521
177,M129E1 CHAFF DISP,M129,SUPPORT,Leaflet Bomb is a device used for dropping large quantities of flyers,301
178,M129E2 CHAFF DISP,M129,SUPPORT,Leaflet Bomb is a device used for dropping large quantities of flyers,135
179,M129EA1 LEAFLETS(1K),M129,SUPPORT,Leaflet Bomb is a device used for dropping large quantities of flyers,11852
180,M1A4 FRAG BOMB CLUSTR,AN-M41A1,BOMB,Fragmentation bomb cluster,688
181,M28 FRAG BOMB CLUSTR,M28 cluster bomb,BOMB,100 lb cluster bomb containing 24 bomblets,31
182,M-3,Mark 83 bomb,BOMB,1000 lb none guidence general purpose bomb,30613
183,M3 GP BOMB (1000),Mark 83 bomb,BOMB,1000 lb none guidence general purpose bomb,3
184,M35 PH,,BOMB,,7
185,M35/M32 INCEN BMB CLS,,BOMB,,6
186,M36/M32 INCEN BMB CLS,,BOMB,,886
187,M36E2 HIGH SPD M36,,BOMB,,1383
188,M-39,,BOMB,,136172
189,M4 GP BOMB (1000),Mark 84 bomb,BOMB,2000 lb none guidence general purpose bomb,14
190,M47I INCEN BOMB (100),,BOMB,,399
191,M47S SMOKE BOMB (100),,BOMB,,242
192,M-61,,BOMB,,76288
193,M64A1,,BOMB,,6
194,M65 GP BOMB (1000),MK 65,BOMB,General Practice Bomb,1
195,M65A1,MK 65,BOMB,General Practice Bomb,368
196,M66 GP BOMB (2000),AN-M66,BOMB,2000lb General Purpose bomb,1
197,MAO3 NBB,,BOMB,,1
198,MB05 WAAPM30 (BLU54),BLU-54/B,BOMB,anti-personnel minelet,1
199,MC01 FAID,,SUPPORT,,2
200,MC02 DAR,,SUPPORT,,1
201,MD01 ALVM (CBU34/45),,BOMB,,1
202,MD02 (CBU39/45),,BOMB,,4
203,MF04 M117(MOD MK 75),,BOMB,,2
204,MK 82 GP BOMB (500),MK 82,BOMB,"""free-fall, nonguided general purpose (GP) 500-pound bomb""",1286
205,MK 82 GP BOMB (500) LD,MK 82,BOMB,"""free-fall, nonguided general purpose (GP) 500-pound bomb""",62921
206,MK10 GP BOMB (100),,BOMB,,116
207,MK11 GP BOMB (1000),,BOMB,,2
208,MK-11/MK-12,,BOMB,,65996
209,MK13 GP BOMB (500),,BOMB,,2
210,MK188,,SUPPORT,,1
211,MK-20 AN TANK/MTL,Mk 20,BOMB,Anti-Tank Cluster Bomb,4466
212,MK20MODO(CS),Mk 20,BOMB,Anti-Tank Cluster Bomb,2574
213,MK-24,,BOMB,,60009
214,MK32,,SUPPORT,,164
215,MK346 (MK82 W/MECH TL),,BOMB,,375
216,MK36 DEST FUSED MK82,,BOMB,,354
217,MK-36 DESTRUCT,,BOMB,,7822
218,MK36 GP BOMB,,BOMB,,1451
219,MK36 GP BOMB HD,,BOMB,,6
220,MK36DST MOD1,,BOMB,,32
221,MK36DST MOD2,,BOMB,,41
222,MK36DST MOD3,,BOMB,,53
223,MK36DST MOD4,,BOMB,,19
224,MK4 GP BOMB (500),MK 4,BOMB,high explosive general purpose bomb,81
225,MK40 2.75 IN. RKT MTR,,ROCKET,,32
226,MK40 DST FUSED MK83,,ROCKET,,3
227,MK40DST MOD2,,ROCKET,,1
228,MK52 WATER MINE,,BOMB,,2
229,MK63,,BOMB,,56
230,MK7 GP BOMB (500),,BOMB,,1
231,MK77 NAPALM,,BOMB,,607
232,MK8 GP BOMB (500),,BOMB,,2
233,MK81 GP BOMB (250),MK 81,BOMB,"""general-purpose low-drag, high-explosive filled bombs""",17657
234,MK82 B,MK 82,BOMB,"""free-fall, nonguided general purpose (GP) 500-pound bomb""",28304
235,MK82 GP BOMB (500) HD,MK 82,BOMB,"""free-fall, nonguided general purpose (GP) 500-pound bomb""",3777
236,MK82 GP BOMB (M346 FS),MK 82,BOMB,"""free-fall, nonguided general purpose (GP) 500-pound bomb""",363
237,MK82 GP BOMB 35FUS HD,MK 82,BOMB,"""free-fall, nonguided general purpose (GP) 500-pound bomb""",1
238,MK82 GP BOMB HD-FMU30,MK 82,BOMB,"""free-fall, nonguided general purpose (GP) 500-pound bomb""",1
239,MK82(LGB) LASER G/BMB,MK 82,BOMB,"""free-fall, nonguided general purpose (GP) 500-pound bomb""",445
240,MK83 B,MK 83,BOMB,"""free-fall, nonguided general purpose (GP) 1,000-pound bomb""",377
241,MK83 GP BOMB (1000),MK 83,BOMB,"""free-fall, nonguided general purpose (GP) 1,000-pound bomb""",2020
242,MK83 GP BOMB (M346 FS),MK 83,BOMB,"""free-fall, nonguided general purpose (GP) 1,000-pound bomb""",65
243,MK83 LASER G/BOMB,MK 83,BOMB,"""free-fall, laser guided general purpose (GP) 1,000-pound bomb""",15
244,MK84 (EOGB),Mk 84,BOMB,"""2,000-pound hard target penetrator bomb""",64
245,MK84 FE GP BOMB (2000),Mk 84,BOMB,"""2,000-pound hard target penetrator bomb""",279
246,MK84 GP BOMB (2000),Mk 84,BOMB,"""2,000-pound hard target penetrator bomb""",596
247,MK84 GP BOMB (KMU351),Mk 84,BOMB,"""2,000-pound hard target penetrator bomb""",1171
248,MK84 GP BOMB (KMU353),Mk 84,BOMB,"""2,000-pound hard target penetrator bomb""",11
249,MK84 LASER G/MINE,Mk 84,BOMB,"""2,000-pound hard target penetrator bomb""",10
250,MK84 W/FMU72 DENWPN,Mk 84,BOMB,"""2,000-pound hard target penetrator bomb""",2
251,MLU-108,,BOMB,,25
252,MLU10B AIR LAND MINE,,BOMB,,20
253,PASSENGERS,,SUPPORT,,87484
254,PH FLASH M112,Bomb M122,SUPPORT,Bomb used to provide illumination for aerial night photography,12
255,PH FLASH M120,,SUPPORT,,31
256,PH FLASH M123,,SUPPORT,,46
257,PHOTO EQUIP,,SUPPORT,,41592
258,RADIOS,,SUPPORT,,3
259,RKTLAUCHLAU-60,LAU-60/A,ROCKET,19 Round 70mm (2.75 in.) Rocket Launcher,758
260,ROCKEYE II,Mk 20,BOMB,Anti-Tank Cluster Bomb,545
261,ROKEY500LBBOMB,Mk 20,BOMB,Anti-Tank Cluster Bomb,614
262,SA06 SENSOR,,SUPPORT,,3
263,SA08 SENSOR,,SUPPORT,,112
264,SAO1- CV1- 1 ADSID,,SUPPORT,,273
265,SAO2 HANDSID,,SUPPORT,,2
266,SAO3 HELOSID,,SUPPORT,,3
267,SAO4 FADSID,,SUPPORT,,101
268,SAP BM,,SUPPORT,,1
269,SB02- LSD- ACOUBUY,,SUPPORT,,10
270,SB03- SPIKE -CV3-,,SUPPORT,,2
271,SB04 DUMMY,,SUPPORT,,11
272,SC01 MAGID,,SUPPORT,,9
273,SC08 ACQUSID III SNSR,,SUPPORT,,883
274,SCO1 ADSID III SENSOR,,SUPPORT,,185
275,SD01 IRID,,SUPPORT,,2
276,SHRIKE,AGM-45 Shrike,MISSILE,Air-to-surface anti-radiation missile,12690
277,SIDEWINDER,AIM-9 Sidewinder,MISSILE,short-range air-to-air missile,15886
278,SPARROW,AIM-7 Sparrow,MISSILE,medium-range semi-active radar homing air-to-air missile,19688
279,SPEAKER HOURS (TENTHS),,SUPPORT,,6983
280,STD/ARM AGM-78,,MISSILE,,1191
281,SUU24A,,SUPPORT,,51
282,SUU-40A or CS-1 BULK DISP,,SUPPORT,,203
283,SUU41 DSP F-CBU39/40,,BOMB,,7
284,TROOPS,Troops,SUPPORT,,4
285,UNK,Unknown,SUPPORT,,113
286,UNKNOWN,Unknown,SUPPORT,,188
287,WALLEYE,AGM-62ÊWalleye,BOMB,unpowered TV-guided glide bomb,483
288,WDU AN PR 2.75 ROCKET,,ROCKET,,4
289,XM145,,SUPPORT,,53
290,XM384 40MM AMMO,,SUPPORT,,477
291,XM40E5,XM40E5 Gravel Bomb,MISSILE,0.54 g of Chlorate/Phosphorus based explosive used for illumination/warning,3
292,XM41UNITS-CAN,,MISSILE,,14
293,XM42 (XM12) GRVL BOMB,,MISSILE,,2
294,XM54 MICROGRAVEL BOMB,,MISSILE,,1
